"(In millions, issuance by calendar year)","Maturities
(calendar year)","Stated Interest
Rate","Effective
Interest
Rate","June 30,
2023","June 30,
2022"
,,,,,
,,,,,
2009 issuance of $3.8 billion,2039,5.20%,5.24%,$	520,$	520
2010 issuance of $4.8 billion,2040,4.50%,4.57%,486,486
2011 issuance of $2.3 billion,2041,5.30%,5.36%,718,718
2012 issuance of $2.3 billion,2042,3.50%,3.57%,454,"1,204"
2013 issuance of $5.2 billion,2023–2043,3.63%–4.88%,3.73%–4.92%,"1,814","2,814"
2013 issuance of €4.1 billion,2028–2033,2.63%–3.13%,2.69%–3.22%,"2,509","2,404"
2015 issuance of $23.8 billion,2025–2055,2.70%–4.75%,2.77%–4.78%,"9,805","10,805"
2016 issuance of $19.8 billion,2023–2056,2.00%–3.95%,2.10%–4.03%,"9,430","9,430"
2017 issuance of $17.0 billion,2024–2057,2.88%–4.50%,3.04%–4.53%,"8,945","8,945"
2020 issuance of $10.0 billion,2050–2060,2.53%–2.68%,2.53%–2.68%,"10,000","10,000"
2021 issuance of $8.2 billion,2052–2062,2.92%–3.04%,2.92%–3.04%,"8,185","8,185"
,,,,,
Total face value,Total face value,Total face value,,"52,866","55,511"
Unamortized discount and issuance costs,,,,(438	),(471	)
Hedge fair value adjustments (a),,,,(106	),(68	)
Premium on debt exchange,,,,"(5,085	)","(5,191	)"
,,,,,
Total debt,Total debt,Total debt,,"47,237","49,781"
Current portion of long-term debt,,,,"(5,247	)","(2,749	)"
,,,,,
Long-term debt,Long-term debt,Long-term debt,,"$	  41,990","$	  47,032"
,,,,,
