0,1,2,3,4,5,6
,Less than 12 Months,Less than 12 Months,12 Months or Greater,12 Months or Greater,,Total Unrealized Losses
,,,,,,Total Unrealized Losses
(In millions),Fair Value,Unrealized Losses,Fair Value,Unrealized Losses,Total Fair Value,Total Unrealized Losses
,,,,,,
,,,,,,
"June 30, 2023",,,,,,
,,,,,,
U.S. government and agency securities,"$ 7,950",$ (336 ),"$ 45,273","$ (3,534 )","$ 53,223","$ (3,870 )"
Foreign government bonds,77,(5 ),391,(19 ),468,(24 )
Mortgage- and asset-backed securities,257,(5 ),412,(34 ),669,(39 )
Corporate notes and bonds,"2,326",(49 ),"7,336",(534 ),"9,662",(583 )
Municipal securities,111,(3 ),186,(31 ),297,(34 )
,,,,,,
Total,"$ 10,721",$ (398 ),"$ 53,598","$ (4,152 )","$ 64,319","$ (4,550 )"
,,,,,,
,,,,,,
,Less than 12 Months,Less than 12 Months,12 Months or Greater,12 Months or Greater,,Total Unrealized Losses
,,,,,,Total Unrealized Losses
(In millions),Fair Value,Unrealized Losses,Fair Value,Unrealized Losses,Total Fair Value,Total Unrealized Losses
,,,,,,
,,,,,,
"June 30, 2022",,,,,,
,,,,,,
U.S. government and agency securities,"$ 59,092","$ (1,835 )","$ 2,210",$ (352 ),"$ 61,302","$ (2,187 )"
Foreign government bonds,418,(18 ),27,(6 ),445,(24 )
Mortgage- and asset-backed securities,510,(26 ),41,(4 ),551,(30 )
Corporate notes and bonds,"9,443",(477 ),786,(77 ),"10,229",(554 )
Municipal securities,178,(12 ),74,(7 ),252,(19 )
,,,,,,
Total,"$ 69,641","$ (2,368 )","$ 3,138",$ (446 ),"$ 72,779","$ (2,814 )"
,,,,,,
