0,1,2,3
(In millions),,,
,,,
,,,
"Year Ended June 30,",2023,2022,2021
,,,
Revenue,,,
,,,
Productivity and Business Processes,"$ 69,274","$ 63,364","$ 53,915"
Intelligent Cloud,"87,907","74,965","59,728"
More Personal Computing,"54,734","59,941","54,445"
,,,
Total,"$ 211,915","$ 198,270","$ 168,088"
,,,
,,,
Operating Income,Operating Income,Operating Income,Operating Income
,,,
Productivity and Business Processes,"$ 34,189","$ 29,690","$ 24,351"
Intelligent Cloud,"37,884","33,203","26,471"
More Personal Computing,"16,450","20,490","19,094"
,,,
Total,"$ 88,523","$ 83,383","$ 69,916"
,,,
